ProperName,BayerName,Cst,Constellation_Full,Vmag,ra_rad,dec_rad,pi_rad,mu_alpha_cosdec_rad_d,mu_delta_rad_d,HR,HIP
Sirius,Alp,CMa,Canis Major,-1.46,1.7678185358639344,-0.2916993747538402,1.838462e-06,-7.247450185424169e-09,-1.6234389293761538e-08,2491,32349
Canopus,Alp,Car,Carina,-0.72,1.6753045113573004,-0.9197137785335133,5.1147847e-08,2.6454036042472426e-10,3.0847556328502716e-10,2326,30438
Arcturus,Alp,Boo,Bootes,-0.04,3.7335754203528406,0.33488104399764695,4.3066e-07,-1.4513085031850943e-08,-2.6547746777274158e-08,5340,69673
Rigil Kentaurus,Alp,Cen,Centaurus,-0.01,3.8383352141982057,-1.0617735850178902,3.6594222e-06,-4.883643357213581e-08,6.2872469905860085e-09,5459,71683
Vega,Alp,Lyr,Lyra,0.03,4.873554572832762,0.6768909261657692,6.3137287e-07,2.6671721035496283e-09,3.799266802025531e-09,7001,91262
Capella,Alp,Aur,Auriga,0.08,1.381813203918845,0.8028345096430193,3.6942802e-07,9.988290076247115e-10,-5.6663138214606385e-09,1708,24608
Rigel,Bet,Ori,Orion,0.12,1.3724302997229565,-0.14314561473288487,1.8325958e-08,1.738825249153983e-11,6.636737592190774e-12,1713,24436
Procyon,Alp,CMi,Canis Minor,0.38,2.0041134442333846,0.09123721894396088,1.3795859e-06,-9.485092632007211e-09,-1.3761939071166788e-08,2943,37279
Achernar,Alp,Eri,Eridanus,0.46,0.4263513349080509,-0.9989681672265438,1.13397924e-07,1.1547923410411948e-09,-5.075776910507504e-10,472,7588
Betelgeuse,Alp,Ori,Orion,0.5,1.5497279598007032,0.12927717526399574,3.17553e-08,3.6555150657786783e-10,1.4999026958351152e-10,2061,27989
Hadar,Bet,Cen,Centaurus,0.61,3.681877111940374,-1.0537072605184656,4.03365e-08,-4.4160851938437415e-10,-3.0741368527027667e-10,5267,68702
Altair,Alp,Aql,Aquila,0.77,5.195749333020726,0.1547650595795684,9.451443e-07,7.117635598120918e-09,5.114137253790367e-09,7557,97649
Aldebaran,Alp,Tau,Taurus,0.85,1.203928151885076,0.2881496982902612,2.3726781e-07,8.422020004490093e-10,-2.5078904013370496e-09,1457,21421
Antares,Alp,Sco,Scorpius,0.96,4.317105908883258,-0.46132448506027923,2.8555526e-08,-1.6074178448286053e-10,-3.092719717960901e-10,6134,80763
Spica,Alp,Vir,Virgo,0.98,3.5133190261254343,-0.19480047282455695,6.331667e-08,-5.621316740585586e-10,-4.070974839049821e-10,5056,65474
Pollux,Bet,Gem,Gemini,1.14,2.030353438396597,0.4891513905243363,4.6803916e-07,-8.316495876774258e-09,-6.079251634446749e-10,2990,37826
Fomalhaut,Alp,PsA,Piscis Austrinus,1.16,6.011119421306775,-0.516998582648421,6.293366e-07,4.36630966190231e-09,-2.185743158612109e-09,8728,113368
Deneb,Alp,Cyg,Cygnus,1.25,5.416768485349538,0.7902909201132547,1.1199196e-08,2.667968512060691e-11,2.4555929091105866e-11,7924,102098
Mimosa,Bet,Cru,Crux,1.25,3.3498190465525757,-1.041764911434206,5.6771686e-08,-5.703612286728751e-10,-2.1476482848329344e-10,4853,62434
